"pagetitle-page-level-admin-permission";"Permissions"
"Event_DESC";"Plan your page's events, invite your fans and discuss about the event."
"Music_DESC";"Upload your page's music and let your fans to listen and share."
"Video_DESC";"Submit youtube/vimeo and computer videos, let your fans to play and discuss."
"Contact_DESC";"Allows your visitors to easily contact you and send their questions, suggestions, business requests, etc"
"Rate_DESC";"Allows your fans to leave reviews for your page."
"Store_DESC";"Social e-Commerce feature allows you to sell your products and services, advertise throughout our social network."
"FAQ_DESC";"Allows you to create FAQ section on your page"
"PAGE_Change Package";"Change Package"
"PAGE_Your page does not have a package";"Your page does not have a package"
"PAGE_Upgrade";"Upgrade"
"PAGE_Edit your Store Settings - enable your api credentials to be able to sell your products etc.";"Add new products, edit details of existing products, enter your PayPal email to receive payments."
"PACKAGE_EDIT_TITLE";"Edit Package"
"PACKAGE_EDIT_DESC";"Edit your package details in the form below. Please note that changes aren't apply to pages which already subscribed to this package."
"PAGE_View your Store Statistics - check out the transactions to your store, view your products statistics etc.";"View your Store Statistics - check out your store transactions, view statistics per products, etc."
"MAKE_PACKAGE_DEFAULT_DESC";"Are you sure you want to assign the package <b>'%s'</b> as a Default? <br />All new and downgraded pages will be automatically subscribed to this package."
"DELETE_PAGE_PACKAGE_DESC";"Are you sure you want to delete the package <b>'%s'</b> ? <br />All pages subscribed to this package will be automatically downgraded to the default package."
"ADMIN_ACTIVITY_TYPE_PAGE_TOPIC_CREATE";"When someone creates a topic in Page"
"ADMIN_ACTIVITY_TYPE_PAGE_TOPIC_REPLY";"When someone replies in a topic in Page"

"Permission Settings";"Permissions"
"Page Widgets";"Page Widgets"
"Video Settings";"Video Settings"
"Default Layout Editor";"Default Layout"
"Page Subscriptions";"Subscriptions"
"Page Transactions";"Transactions"
"View Pages";"View Pages"
"No, do not allow create pages.";"No, do not allow create pages."
"Yes, allow create pages.";"Yes, allow create pages."
"No, do not allow edit columns.";"No, do not allow edit columns."
"Yes, allow edit columns.";"Yes, allow edit columns."
